target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,,120000,0,0,0,3.2747311828,44.292349727,14.127232577,0,0,11.453259975,623
0,OTHER,elementary,,80304,0,1,0,8.5988799283,31.101369863,0.5671232877,1,1,10.142465753,629
0,2NDFL,elementary,,41217,0,0,1,0.4991263441,39.145205479,7.002739726,1,1,9.165528857,633
0,2NDFL,advanced,,20030,0,0,,,33.244239838,10.643835616,,,9.8383561644,638
0,2NDFL,advanced,,50687,0,0,1,1.0808915771,33.072400629,7.0849315068,1,1,0.6871547272,644
0,OTHER,high,Corporate,54138,0,1,0,10.606003584,26.780582379,0.5038700502,1,1,6.4655138858,655
0,2NDFL,advanced,,37248,0,0,0,,40.683224792,8.2049180328,0,0,8.853087806,660
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,673
0,2NDFL,beginner,Corporate,34473,0,1,0,,32.596257205,3.2811887117,,,9.1551613145,677
0,OTHER,elementary,Corporate,60000,0,1,,,27.010958904,2.6410958904,,,6.9232876712,680
0,OTHER,advanced,Corporate,35074,0,1,2,1.0839157706,32.858230406,0.855498166,0,0,4.9320008983,681
0,OTHER,elementary,,80040,0,0,,,48.396481773,1.0276293136,,,3.3616438356,691
0,OTHER,elementary,Corporate,44062,0,1,0,0.5705421147,39.011685006,0.877438431,1,1,10.910315143,704
0,OTHER,elementary,Corporate,86493,0,1,,,43.745205479,4.1643835616,,,13.698630137,717
0,OTHER,elementary,,191400,0,0,0,1.4105062724,41.373486039,1.0118422038,2,2,8.0409836066,725
0,OTHER,elementary,Corporate,73267,0,1,1,0.9224462366,30.879452055,8.3780821918,1,1,9.2719664646,733
0,2NDFL,advanced,,23222,0,0,0,3.3422939068,30.362033086,3.4442248671,0,1,8.3579234973,737
0,OTHER,elementary,Corporate,51791,0,1,1,0.2798387097,45.147975148,1.997260274,0,0,0.0547945205,746
0,OTHER,elementary,,150000,0,0,0,51.574283154,32.382513661,1.6589265664,0,0,10.026049854,750
0,OTHER,elementary,Corporate,100839,0,1,,,37.839935624,5.144045213,,,9.1221274047,753
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,756
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,757
0,OTHER,elementary,,18000,0,0,0,3.439359319,43.09524665,3.1500411707,0,0,9.6157945954,763
0,OTHER,elementary,Corporate,33469,0,1,,,34.090410959,6.8054794521,,,11.309589041,764
0,2NDFL,advanced,,30145,0,0,0,2.8276657706,40.06557377,2.8408563515,0,0,6.3668837488,768
0,OTHER,advanced,Corporate,25702,0,1,0,78.795654122,47.668493151,9.5730518751,1,1,2.6054794521,774
0,OTHER,elementary,Corporate,50120,0,1,,,43.671232877,0.6705591736,,,5.8876712329,784
0,OTHER,advanced,Corporate,30000,0,1,1,0.311984767,39.203780223,3.6475409836,0,0,9.0256980313,786
0,2NDFL,elementary,,118365,0,0,0,,38.739726027,13.493150685,1,1,11.473972603,793
0,2NDFL,elementary,,23619,0,0,,,27.781420765,0.7410958904,,,4.8753424658,794
0,OTHER,elementary,,400000,0,0,1,0.4678091398,41.41490381,1.3053147691,0,0,8.60120518,799
0,2NDFL,elementary,,20743,0,0,0,12.663776882,53.416999775,6.7950819672,0,0,7.3813833371,806
0,OTHER,elementary,,130000,0,0,0,1.1216845878,41.356890486,0.5710382514,,,9.7020959653,809
0,OTHER,elementary,,279828,1,0,1,0.5390456989,38.402739726,4.8830975372,0,0,10.112328767,822
