,ID,INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
92,1001856,Форма банка (без печати работодателя),Ремонт,0.0,0.54,мужской,2,0,Высшее/Второе высшее/Ученая степень,рабочий,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1001876,Свободная форма с печатью работодателя,Покупка автомобиля,0.0,0.28,женский,1,0,высшее,менеджер высшего звена,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1001896,Свободная форма с печатью работодателя,Покупка автомобиля,1.0,0.49,мужской,0,0,*n.a.*,торговый представитель,< 50,0.0,17.0,26.0,Торговля,Индивидуальный предприниматель,холост / не замужем,1.0,1.0,1.0,1.0,1.0,0.1290322581,0.0,0.0,0.0,0.0,1.0,2.0,0.0,27.0,2.0,1.0,0.0,23.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1001916,Поступление зарплаты на счет,Лечение,0.0,0.52,женский,2,0,Высшее/Второе высшее/Ученая степень,вспомогательный персонал,< 50,0.0,32.0,35.0,Другое,Иная форма,холост / не замужем,4.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.6,3.0,2.0,38.0,5.0,2.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1001936,Поступление зарплаты на счет,Ремонт,1.0,0.57,женский,0,0,среднее-специальное,специалист,< 50,0.0,22.0,58.0,Другое,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,12.0,2.0,1.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1001956,Свободная форма с печатью работодателя,Ремонт,1.0,0.36,женский,0,0,незаконченное высшее,менеджер по продажам,>250,0.0,52.0,25.0,Другое,ООО,холост / не замужем,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1001976,2НДФЛ,Ремонт,0.0,0.57,женский,0,0,высшее,специалист,>250,0.0,11.0,27.0,Другое,ОАО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0238095238,0.0,1.0,0.0,0.0,0.6666666667,2.0,1.0,41.0,3.0,1.0,0.0,3.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1001996,2НДФЛ,Ремонт,1.0,0.39,женский,1,0,Высшее/Второе высшее/Ученая степень,вспомогательный персонал,>250,0.0,13.0,42.0,Наука,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1002016,Форма банка (без печати работодателя),Отпуск,0.0,0.4,мужской,0,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,0.0,406.0,54.0,Наука,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1002036,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.49,мужской,1,0,высшее,специалист,>250,0.0,122.0,30.0,Государственная служба,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1002056,Поступление зарплаты на счет,Ремонт,0.0,0.38,женский,0,0,среднее-специальное,специалист,>250,1.0,61.0,32.0,Производство,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1002076,Форма банка (без печати работодателя),Ремонт,1.0,0.44,мужской,0,0,высшее,рабочий,>=200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1002096,Поступление зарплаты на счет,Отпуск,1.0,0.16,женский,0,0,высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1002116,Поступление зарплаты на счет,Отпуск,1.0,0.03,женский,0,0,высшее,специалист,>250,0.0,44.0,27.0,Другое,ЗАО,холост / не замужем,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
106,1002136,Поступление зарплаты на счет,Ремонт,1.0,0.49,женский,1,0,высшее,специалист,>250,0.0,47.0,35.0,Другое,ООО,разведен / разведена,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,51.0,2.0,0.0,1.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1002156,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.53,женский,0,0,высшее,менеджер среднего звена,>250,0.0,66.0,39.0,Торговля,ООО,женат / замужем,3.0,2.0,1.0,1.0,0.0,0.0144927536,1.0,1.0,1.0,0.0,0.7142857143,5.0,2.0,68.0,7.0,1.0,0.0,2.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1002176,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.15,мужской,1,0,высшее,менеджер высшего звена,< 50,0.0,234.0,53.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,1.0,1.0,0.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,1002196,Форма банка (без печати работодателя),Отпуск,1.0,0.4,женский,1,0,высшее,специалист,< 50,0.0,49.0,41.0,Другое,ООО,холост / не замужем,2.0,1.0,1.0,1.0,1.0,0.036809816,1.0,0.0,0.0,0.0,0.4,2.0,3.0,157.0,5.0,1.0,0.0,11.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1002216,Поступление зарплаты на счет,Покупка бытовой техники,1.0,0.22,женский,0,0,высшее,специалист,>250,0.0,12.0,25.0,Финансы,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1002236,Поступление зарплаты на счет,Ремонт,0.0,0.56,женский,1,0,высшее,специалист,>250,0.0,35.0,35.0,Производство,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1002256,2НДФЛ,Покупка автомобиля,0.0,0.43,мужской,0,0,высшее,менеджер среднего звена,>250,0.0,354.0,50.0,Государственная служба,,,,,,,,,,,,,,,,,,,,,,,,,,,,
